call_id,customer_id,phone_number,tower_id,call_type,call_duration_seconds,data_usage_mb,signal_strength_dbm,call_timestamp,call_success,revenue_naira,network_type,roaming
86634543-444c-4f38-aa1d-70df574593fa,CU000151,08169541064,INVALID_TW9116,SMS,2532.0,4666.74,-85.0,2024-04-30 04:30:43,True,842.74,4G,True
fe36e9b9-f944-4d9a-83b2-a1796fc5074c,CU000307,07027999942,TW0040,data,,3281.08,-74.0,2024-04-08 10:37:21,True,126.07,5G,False
534acb40-196b-469b-8b20-dbbe23a6e898,CU001104,07011766356,TW0128,Voice,5506.0,3967.93,,2024-05-04 16:11:44,0,400.31,5G,0
04b2ab83-5325-4dd0-9a46-6d767439f5a2,CU000869,09059923201,,Voice,4610.0,4734.73,-113.0,2024-05-24 14:01:58,False,956.19,3g,True
7775e1be-3638-4d37-8ae9-e91fd5a966e5,CU000518,08091140319,TW0150,SMS,271.0,2995.66,-106.0,2024-04-07 20:54:53,False,740.63,3G,1
347ce2de-2af3-411e-8558-ccb34bb636a2,CU000691,09052381677,TW0038,voice,3935.0,866.68,-113.0,2024-05-23 10:18:39,No,491.0,4g,1
e0a92494-1398-4b5c-a199-98a6080dc7fb,CU000128,07086288400,,Data,1234.0,3301.17,-117.0,2024-01-21 18:20:08,Yes,491.07,2G,1
59c2b822-ec4b-4e1e-b35c-ba30821e4fae,CU000544,080864810,TW0005,voice,5691.0,4584.08,-98.0,2024-04-02 14:00:51,Yes,416.57,5G,No
c4c64141-42ec-4e0c-8497-2ea7f5e3ce3c,,08021197996,TW0112,SMS,4969.0,4606.4,,2024-04-12 20:48:24,Yes,119.53,2G,True
2469fa91-eaa6-49c8-8d89-28bb25e7faf1,CU000869,09067384306,TW0020,voice,3171.0,1989.07,-95.0,2024-01-20 02:09:29,0,897.57,3G,Yes
50ae584f-ffc1-4bdf-92d5-7b8f6798e005,CU001377,07057813237,,voice,,3959.02,-43.0,2024-01-22 22:32:49,Y,485.9,2G,Yes
b12cee9d-5393-4e4e-a38e-97bbe05b87f1,CU000113,08188500007,TW0027,SMS,2336.0,1130.44,-50.0,2024-05-28 01:20:04,False,34.99,4g,True
4cfca9d3-72fb-414a-bd24-fa5354a09462,CU000742,08169838407,TW0028,data,1446.0,240.33,-84.0,2024-05-24 21:11:39,N,364.47,4g,1
c78dd3f5-43f1-4a05-940b-c70b5fb7aacc,CU001228,09029874054,TW0086,data,4874.0,4938.82,,2024-02-12 02:25:18,False,349.22,3g,False
c4d40ec5-3a5b-4520-a1bc-b71f9726fec5,CU000751,08158408204,INVALID_TW9812,data,1537.0,4687.16,-91.0,2024-04-23 21:57:24,True,837.48,4G,Yes
b5742be1-8ac6-4bab-8703-9ca34584b768,CU001347,09031461898,TW0118,SMS,2975.0,3076.88,-55.0,2024-01-21 05:18:47,True,673.84,5G,Yes
d85f0f81-bf17-48cf-9710-4259e4edda58,CU000895,09053818616,INVALID_TW9632,Voice,2117.0,1217.43,-64.0,2024-05-31 02:34:16,Y,677.43,4g,1
566176d3-4bc1-4058-ad8f-2a467ce480d1,CU000340,+2348131529592,TW0083,data,2924.0,2060.25,-94.0,2024-01-14 01:56:09,1,656.64,5G,Yes
0f0e0c76-69c2-4db5-8d03-01491f93d04b,CU000275,07087831747,TW0127,sms,-3488.0,,-47.0,2024-05-12 09:30:43,Yes,608.85,4g,Yes
d3a49ee0-9b46-4b99-9234-037952832544,CU000508,None,TW0076,Data,849.0,2738.22,-60.0,2024-02-16 04:39:53,1,423.82,5G,1
8d905053-e0d8-49d4-acd9-b48d984decde,CU001110,None,TW0117,SMS,3855.0,1393.9,-63.0,2024-03-16 06:26:56,True,691.26,4g,No
313ed8ad-2206-4c8a-9045-9f266d4a4855,CU001191,08098956294,TW0017,voice,3087.0,2579.66,150.0,2024-03-12 02:23:26,Y,136.1,3G,0
